"Matrix type";"Sampling point";"Variable";"n"
"Biota";"I-N10";"Hexaclorobutadieno";2
"Biota";"I-N20";"Hexaclorobutadieno";2
"Sediment";"L-RF30";"As";1
"Water";"E-N10";"Diclorometano";2
"Water";"E-N15";"4-(p-)nonilfenol";1
"Water";"E-N15";"Atrazina";1
"Water";"E-N15";"Chlorfenvinphos";1
"Water";"E-N15";"Clorpirifós (Clorpirifós etil)";1
"Water";"E-N15";"Di(2-etilhexil)ftalato (DEHP)";1
"Water";"E-N15";"Diurón";1
"Water";"E-N15";"Isoproturón";1
"Water";"E-N15";"p-terc-octilfenol";1
"Water";"E-N15";"Simazina";1
"Water";"E-N15";"TBT";1
"Water";"E-N15";"Terbutilazina";1
"Water";"E-N17";"Diclorometano";2
"Water";"E-N17";"TBT";1
"Water";"E-N20";"4-(p-)nonilfenol";1
"Water";"E-N20";"Atrazina";1
"Water";"E-N20";"Chlorfenvinphos";1
"Water";"E-N20";"Clorpirifós (Clorpirifós etil)";1
"Water";"E-N20";"Di(2-etilhexil)ftalato (DEHP)";1
"Water";"E-N20";"Diurón";1
"Water";"E-N20";"Isoproturón";1
"Water";"E-N20";"p-terc-octilfenol";1
"Water";"E-N20";"Simazina";1
"Water";"E-N20";"Terbutilazina";1
"Water";"E-N30";"Diclorometano";2
"Water";"L-N10";"4-(p-)nonilfenol";1
"Water";"L-N10";"Atrazina";1
"Water";"L-N10";"beta-HCH";1
"Water";"L-N10";"Chlorfenvinphos";1
"Water";"L-N10";"Clorpirifós (Clorpirifós etil)";1
"Water";"L-N10";"delta-HCH";1
"Water";"L-N10";"Di(2-etilhexil)ftalato (DEHP)";1
"Water";"L-N10";"Diurón";1
"Water";"L-N10";"Epsilon-HCH";1
"Water";"L-N10";"Isoproturón";1
"Water";"L-N10";"p-terc-octilfenol";1
"Water";"L-N10";"Simazina";1
"Water";"L-N10";"TBT";1
"Water";"L-N10";"Terbutilazina";1
"Water";"L-N20";"4-(p-)nonilfenol";1
"Water";"L-N20";"Atrazina";1
"Water";"L-N20";"beta-HCH";1
"Water";"L-N20";"Chlorfenvinphos";1
"Water";"L-N20";"Clorpirifós (Clorpirifós etil)";1
"Water";"L-N20";"delta-HCH";1
"Water";"L-N20";"Di(2-etilhexil)ftalato (DEHP)";1
"Water";"L-N20";"Diurón";1
"Water";"L-N20";"Epsilon-HCH";1
"Water";"L-N20";"Isoproturón";1
"Water";"L-N20";"p-terc-octilfenol";1
"Water";"L-N20";"Simazina";1
"Water";"L-N20";"TBT";1
"Water";"L-N20";"Terbutilazina";1
"Water";"L-RF30";"1,2-Dicloroetano";1
"Water";"L-RF30";"4-(p-)nonilfenol";1
"Water";"L-RF30";"As";2
"Water";"L-RF30";"Atrazina";1
"Water";"L-RF30";"Benceno";1
"Water";"L-RF30";"Chlorfenvinphos";1
"Water";"L-RF30";"Clorpirifós (Clorpirifós etil)";1
"Water";"L-RF30";"Di(2-etilhexil)ftalato (DEHP)";1
"Water";"L-RF30";"Diurón";1
"Water";"L-RF30";"Endrin";2
"Water";"L-RF30";"Isoproturón";1
"Water";"L-RF30";"p-terc-octilfenol";1
"Water";"L-RF30";"Pentaclorofenol";2
"Water";"L-RF30";"Simazina";1
"Water";"L-RF30";"TBT";1
"Water";"L-RF30";"Terbutilazina";1
"Water";"L-RF30";"Tetracloroetileno (percloroetileno)";1
"Water";"L-RF30";"Tetracloruro de carbono";1
"Water";"L-RF30";"Triclorobencenos (sumatorio)";1
"Water";"L-RF30";"Tricloroetileno";1
"Water";"L-RF30";"Triclorometano (cloroformo)";1
